year,publisher,type,platform,model,method,title,doi,url,pdf,ignore,silicon,pubkey,pubname,reserved
2021,arXiv,article,__no_data__,['BERT'],__no_data__,Demystifying BERT: Implications for Accelerator Design,https://doi.org/10.48550/arXiv.2104.08335,https://doi.org/10.48550/arXiv.2104.08335,False,False,True,,Computer Science > Hardware Architecture,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Demystifying BERT: System Design Implications,https://doi.org/10.1109/IISWC55918.2022.00033,https://doi.org/10.1109/IISWC55918.2022.00033,False,False,check,,International Symposium on Workload Characterization (IISWC),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,DFX: A Low-latency Multi-FPGA Appliance for Accelerating Transformer-based Text Generation,https://doi.org/10.1109/MICRO56248.2022.00051,https://doi.org/10.1109/MICRO56248.2022.00051,False,False,True,,International Symposium on Microarchitecture (MICRO),DEADBEEF
2022,Elsevier,article,__no_data__,['BERT'],__no_data__,DiVIT: Algorithm and architecture co-design of differential attention in vision transformer,https://doi.org/10.1016/j.sysarc.2022.102520,https://doi.org/10.1016/j.sysarc.2022.102520,False,False,True,,Journal of Systems Architecture,DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,DOTA: Detect and Omit Weak Attentions for Scalable Transformer Acceleration,https://doi.org/10.1145/3503222.3507738,https://doi.org/10.1145/3503222.3507738,False,False,True,,ACM International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,DQ-BART: Efficient Sequence-to-Sequence Model via Joint Distillation and Quantization,https://doi.org/10.48550/arXiv.2203.11239,https://doi.org/10.48550/arXiv.2203.11239,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2023,IEEE,article,__no_data__,['BERT'],__no_data__,DTATrans: Leveraging Dynamic Token-Based Quantization With Accuracy Compensation Mechanism for Efficient Transformer Architecture,https://doi.org/10.1109/TCAD.2022.3181541,https://doi.org/10.1109/TCAD.2022.3181541,False,False,True,,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,DTQAtten: Leveraging Dynamic Token-based Quantization for Efficient Attention Architecture,https://doi.org/10.23919/DATE54114.2022.9774692,https://doi.org/10.23919/DATE54114.2022.9774692,False,False,True,,"Design, Automation & Test in Europe Conference & Exhibition (DATE)",DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Dynamic Precision Analog Computing for Neural Networks,https://doi.org/10.1109/JSTQE.2022.3218019,https://doi.org/10.1109/JSTQE.2022.3218019,False,False,True,,IEEE Journal of Selected Topics in Quantum Electronics,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,Dynamic-TinyBERT: Boost TinyBERT's Inference Efficiency by Dynamic Sequence Length,https://doi.org/10.48550/arXiv.2111.09645,https://doi.org/10.48550/arXiv.2111.09645,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,EAGLE: Expedited Device Placement with Automatic Grouping for Large Models,https://doi.org/10.1109/IPDPS49936.2021.00068,https://doi.org/10.1109/IPDPS49936.2021.00068,False,False,True,,International Parallel and Distributed Processing Symposium (IPDPS),DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Earlybert: Efficient bert training via early-bird lottery tickets,https://doi.org/10.48550/arXiv.2101.00063,https://doi.org/10.48550/arXiv.2101.00063,False,True,True,,Computer Science > Computation and Language,DEADBEEF
2021,ACL,article,__no_data__,['BERT'],__no_data__,EBERT: Efficient BERT Inference with Dynamic Structured Pruning,http://dx.doi.org/10.18653/v1/2021.findings--acl.425,http://dx.doi.org/10.18653/v1/2021.findings-acl.425,False,False,True,,ACL Findings,DEADBEEF
2021,IEEE/ACM,article,__no_data__,['BERT'],__no_data__,EdgeBERT: Sentence-Level Energy Optimizations for Latency-Aware Multi-Task NLP Inference,https://doi.org/10.1145/3466752.3480095,https://doi.org/10.1145/3466752.3480095,False,False,True,,IEEE/ACM International Symposium on Microarchitecture,DEADBEEF
2022,MDPI,article,__no_data__,['BERT'],__no_data__,EFA-Trans: An Efficient and Flexible Acceleration Architecture for Transformers,https://doi.org/10.3390/electronics11213550,https://doi.org/10.3390/electronics11213550,False,False,True,,Electronics,DEADBEEF
2020,MIT,article,__no_data__,['BERT'],__no_data__,Efficient algorithms and hardware for natural language processing,https://hdl.handle.net/1721.1/127440,https://hdl.handle.net/1721.1/127440,False,False,True,,MIT Master's Thesis,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Efficient Document Retrieval by End-to-End Refining and Quantizing BERT Embedding with Contrastive Product Quantization,https://arxiv.org/abs/2210.17170v1,https://arxiv.org/abs/2210.17170v1,False,True,True,,Computer Science > Information Retrieval,DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Efficient transformer-based large scale language representations using hardware-friendly block structured pruning,https://doi.org/10.48550/arXiv.2009.08065,https://doi.org/10.48550/arXiv.2009.08065,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2022,ProQuest,article,__no_data__,['BERT'],__no_data__,Elastic Processing and Hardware Architectures for Machine Learning,3e9f91ca96ba3320587da2bbec561a2b/,https://www.proquest.com/openview/3e9f91ca96ba3320587da2bbec561a2b/,False,False,True,,UC Santa Barbara Ph.D. Dissertation,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,"ELSA: Hardware-Software co-design for efficient, lightweight self-attention mechanism in neural networks",https://doi.org/10.1109/ISCA52012.2021.00060,https://doi.org/10.1109/ISCA52012.2021.00060,False,False,True,,International Symposium on Computer Architecture (ISCA),DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Empirical Evaluation of Post-Training Quantization Methods for Language Tasks,https://doi.org/10.48550/arXiv.2210.16621,https://doi.org/10.48550/arXiv.2210.16621,False,True,True,,Computer Science > Computation and Language,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Enabling and Accelerating Dynamic Vision Transformer Inference for Real-Time Applications,https://doi.org/10.48550/arXiv.2212.02687,https://doi.org/10.48550/arXiv.2212.02687,False,False,True,,Computer Science > Computer Vision and Pattern Recognition,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Enabling Efficient Large-Scale Deep Learning Training with Cache Coherent Disaggregated Memory Systems,https://doi.org/10.1109/HPCA53966.2022.00018,https://doi.org/10.1109/HPCA53966.2022.00018,False,False,True,,International Symposium on High-Performance Computer Architecture (HPCA),DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,Enabling energy-efficient DNN training on hybrid GPU-FPGA accelerators,https://doi.org/10.1145/3447818.3460371,https://doi.org/10.1145/3447818.3460371,False,False,True,,Proceedings of the ACM International Conference on Supercomputing,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Enabling Energy-Efficient Inference for Self-Attention Mechanisms in Neural Networks,https://doi.org/10.1109/AICAS54282.2022.9869924,https://doi.org/10.1109/AICAS54282.2022.9869924,False,False,True,,International Conference on Artificial Intelligence Circuits and Systems (AICAS),DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,Enabling fast uncertainty estimation: accelerating bayesian transformers via algorithmic and hardware optimizations,https://doi.org/10.1145/3489517.3530451,https://doi.org/10.1145/3489517.3530451,False,False,True,,ACM/IEEE Design Automation Conference (DAC),DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,Enabling Fast Uncertainty Estimation: Exploiting Structured Sparsity in Bayesian Transformers,https://doi.org/10.1145/3489517.3530451,https://spiral.imperial.ac.uk/bitstream/10044/1/96226/2/dac22hf3_final_bayesatt.pdf,False,False,True,,ACM/IEEE Design Automation Conference (DAC),DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Enabling One-Size-Fits-All Compilation Optimization for Inference Across Machine Learning Computers,https://doi.org/10.1109/TC.2021.3128266,https://doi.org/10.1109/TC.2021.3128266,False,check,True,,IEEE Transactions on Computers,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Energy efficiency boost in the AI-infused POWER10 processor,https://doi.org/10.1109/ISCA52012.2021.00012,https://doi.org/10.1109/ISCA52012.2021.00012,False,False,True,,International Symposium on Computer Architecture (ISCA),DEADBEEF
2023,MDPI,article,__no_data__,['BERT'],__no_data__,ENEX-FP: A BERT-Based Address Recognition Model,https://doi.org/10.3390/electronics12010209,https://doi.org/10.3390/electronics12010209,False,True,True,,Electronics,DEADBEEF
2022,Springer,article,__no_data__,['BERT'],__no_data__,Ensemble Model Compression for Fast and Energy-Efficient Ranking on FPGAs,https://doi.org/10.1007/978--3--030--99736--6_18,https://doi.org/10.1007/978-3-030-99736-6_18,False,False,True,,European Conference on Information Retrieval (ECIR),DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Extending the ONNX Runtime Framework for the Processing-in-Memory Execution,https://doi.org/10.1109/ICEIC54506.2022.9748444,https://doi.org/10.1109/ICEIC54506.2022.9748444,False,False,True,,"International Conference on Electronics, Information, and Communication (ICEIC)",DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Extreme Compression for Pre-trained Transformers Made Simple and Efficient,https://doi.org/10.48550/arXiv.2206.01859,https://doi.org/10.48550/arXiv.2206.01859,False,check,True,,Computer Science > Computation and Language,DEADBEEF
2020,Springer,article,__no_data__,['BERT'],__no_data__,FARM: A flexible accelerator for recurrent and memory augmented neural networks,https://doi.org/10.1007/s11265--020--01555--w,https://doi.org/10.1007/s11265-020-01555-w,False,False,True,,Journal of Signal Processing Systems,DEADBEEF
2022,None,article,__no_data__,['BERT'],__no_data__,Fast Heterogeneous Task Mapping for Reducing Edge DNN Latency,https://doi.org/10.1109/ASAP54787.2022.00020,https://doi.org/10.1109/ASAP54787.2022.00020,False,False,True,,"International Conference on Application-specific Systems, Architectures and Processors (ASAP)",DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Fastformers: Highly efficient transformer models for natural language understanding,https://doi.org/10.48550/arXiv.2010.13382,https://doi.org/10.48550/arXiv.2010.13382,False,False,True,,Computer Science > Computation and Language,DEADBEEF
2022,ACM/SIGDA,article,__no_data__,['BERT'],__no_data__,"FILM-QNN: Efficient FPGA Acceleration of Deep Neural Networks with Intra-Layer, Mixed-Precision Quantization",https://doi.org/10.1145/3490422.3502364,https://doi.org/10.1145/3490422.3502364,False,False,True,,International Symposium on Field-Programmable Gate Arrays,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Fine-and Coarse-Granularity Hybrid Self-Attention for Efficient BERT,https://doi.org/10.48550/arXiv.2203.09055,https://doi.org/10.48550/arXiv.2203.09055,False,check,True,,Computer Science > Computation and Language,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Fixed-point Quantization for Vision Transformer,https://doi.org/10.1109/CAC53003.2021.9728246,https://doi.org/10.1109/CAC53003.2021.9728246,False,False,True,,China Automation Congress (CAC),DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,FlexACC: A Programmable Accelerator with Application-Specific ISA for Flexible Deep Neural Network Inference,https://doi.org/10.1109/ASAP52443.2021.00046,https://doi.org/10.1109/ASAP52443.2021.00046,False,False,True,,"International Conference on Application-specific Systems, Architectures and Processors (ASAP)",DEADBEEF
2022,ACM/IEEE,article,__no_data__,['BERT'],__no_data__,FPGA-aware automatic acceleration framework for vision transformer with mixed-scheme quantization: late breaking results,https://doi.org/10.1145/3489517.3530618,https://doi.org/10.1145/3489517.3530618,False,False,True,,ACM/IEEE Design Automation Conference,DEADBEEF
2022,IOS%20Press,article,__no_data__,['BERT'],__no_data__,FPGA-based design and implementation of the location attention mechanism in neural networks,https://doi.org/10.3233/JIFS--212273,https://doi.org/10.3233/JIFS-212273,False,False,True,,Journal of Intelligent & Fuzzy Systems,DEADBEEF
2022,AAAI,article,__no_data__,['BERT'],__no_data__,From dense to sparse: Contrastive pruning for better pre-trained language model compression,https://doi.org/10.1609/aaai.v36i10.21408,https://doi.org/10.1609/aaai.v36i10.21408,False,check,True,,AAAI Technical Track on Speech and Natural Language Processing,DEADBEEF
2020,ACM/IEEE,article,__no_data__,['BERT'],__no_data__,FTRANS: energy-efficient acceleration of transformers using FPGA,https://doi.org/10.1145/3370748.3406567,https://doi.org/10.1145/3370748.3406567,False,False,True,,ACM/IEEE International Symposium on Low Power Electronics and Design,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Future Scaling of Memory Hierarchy for Tensor Cores and Eliminating Redundant Shared Memory Traffic Using Inter-Warp Multicastin,https://doi.org/10.1109/TC.2022.3207134,https://doi.org/10.1109/TC.2022.3207134,False,False,True,,IEEE Transactions on Computers,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Gemmini: Enabling systematic deep-learning architecture evaluation via full-stack integration,https://doi.org/10.1109/DAC18074.2021.9586216,https://doi.org/10.1109/DAC18074.2021.9586216,False,False,True,,ACM/IEEE Design Automation Conference (DAC),DEADBEEF
2021,IEEE/ACM,article,__no_data__,['BERT'],__no_data__,Gobo: Quantizing attention-based nlp models for low latency and energy efficient inference,https://doi.org/10.1109/MICRO50266.2020.00071,https://doi.org/10.1109/MICRO50266.2020.00071,False,False,True,,IEEE/ACM International Symposium on Microarchitecture (MICRO),DEADBEEF
2022,Elsevier,article,__no_data__,['BERT'],__no_data__,Greedy-layer pruning: Speeding up transformer models for natural language processing,https://doi.org/10.1016/j.patrec.2022.03.023,https://doi.org/10.1016/j.patrec.2022.03.023,False,False,True,,Pattern Recognition Letters,DEADBEEF
2022,ACM/IEEE,article,__no_data__,['BERT'],__no_data__,GuardNN: secure accelerator architecture for privacy-preserving deep learning,https://doi.org/10.1145/3489517.3530439,https://doi.org/10.1145/3489517.3530439,False,False,True,,ACM/IEEE Design Automation Conference,DEADBEEF
2023,IEEE,article,__no_data__,['BERT'],__no_data__,HAMMER: Hardware-friendly Approximate Computing for Self-attention with Mean-redistribution and Linearization,https://doi.org/10.1109/LCA.2022.3233832,https://doi.org/10.1109/LCA.2022.3233832,False,False,True,,IEEE Computer Architecture Letters,DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,Handling heavy-tailed input of transformer inference on GPUs,https://doi.org/10.1145/3524059.3532372,https://doi.org/10.1145/3524059.3532372,False,False,True,,ACM International Conference on Supercomputing (ICS),DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Hardware Acceleration of Fully Quantized BERT for Efficient Natural Language Processing,https://doi.org/10.23919/DATE51398.2021.9474043,https://doi.org/10.23919/DATE51398.2021.9474043,False,False,True,,"Design, Automation & Test in Europe Conference & Exhibition (DATE)",DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Hardware acceleration of sparse and irregular tensor computations of ml models: A survey and insights,https://doi.org/10.1109/JPROC.2021.3098483,https://doi.org/10.1109/JPROC.2021.3098483,False,False,True,,Proceedings of the IEEE,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Hardware Acceleration of Transformer Networks using FPGAs,https://doi.org/10.1109/PACET56979.2022.9976354,https://doi.org/10.1109/PACET56979.2022.9976354,False,False,True,,Panhellenic Conference on Electronics & Telecommunications (PACET),DEADBEEF
2020,IEEE,article,__no_data__,['BERT'],__no_data__,Hardware accelerator for multi-head attention and position-wise feed-forward in the transformer,https://doi.org/10.1109/SOCC49529.2020.9524802,https://doi.org/10.1109/SOCC49529.2020.9524802,False,False,True,,International System-on-Chip Conference (SOCC),DEADBEEF
2022,Springer,article,__no_data__,['BERT'],__no_data__,Hardware and Software Co-design for Soft Switch in ViT Variants Processing Unit,https://doi.org/10.1007/978--3--031--10989--8_55,https://doi.org/10.1007/978-3-031-10989-8_55,False,False,True,,"International Conference on Knowledge Science, Engineering and Management",DEADBEEF
2022,None,article,__no_data__,['BERT'],__no_data__,Hardware and Software Co-optimization for Windows Attention,https://doi.org/10.1007/978--3--031--10989--8_52,https://doi.org/10.1007/978-3-031-10989-8_52,False,False,True,,"International Conference on Knowledge Science, Engineering and Management",DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,HMC-TRAN: A Tensor-core Inspired Hierarchical Model Compression for Transformer-based DNNs on GPU,https://doi.org/10.1145/3453688.3461740,https://doi.org/10.1145/3453688.3461740,False,False,True,,Great Lakes Symposium on VLSI,DEADBEEF
2021,None,article,__no_data__,['BERT'],__no_data__,HoloFormer: Deep Compression of Pre-Trained Transforms via Unified Optimization of N: M Sparsity and Integer Quantization,None,None,https://openreview.net/pdf?id=eAEcdRkcMHh,check,check,,None,DEADBEEF
2021,Springer,article,__no_data__,['BERT'],__no_data__,How Deep Learning Model Architecture and Software Stack Impacts Training Performance in the Cloud,https://doi.org/978--3--030--89385--9,https://doi.org/978-3-030-89385-9,False,check,False,,Engineering Artificially Intelligent Systems,DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,How to Train BERT with an Academic Budget,https://doi.org/10.48550/arXiv.2104.07705,https://doi.org/10.48550/arXiv.2104.07705,https://arxiv.org/pdf/2104.07705.pdf,True,False,,Computer Science > Computation and Language,DEADBEEF
2021,PMLR,article,__no_data__,['BERT'],__no_data__,I-BERT: Integer-only BERT Quantization,https://doi.org/10.48550/arXiv.2101.01321,https://proceedings.mlr.press/v139/kim21d.html,http://proceedings.mlr.press/v139/kim21d/kim21d.pdf,False,True,,Proceedings of Machine Learning Research,DEADBEEF
2020,Springer,article,__no_data__,['BERT'],__no_data__,Improving Accuracy and Speeding Up Document Image Classification Through Parallel Systems,https://doi.org/10.1007/978--3--030--50417--5_29,https://doi.org/10.1007/978-3-030-50417-5_29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302855/pdf/978-3-030-50417-5_Chapter_29.pdf,False,True,,International Conference on Computational Science,DEADBEEF
2022,Springer,article,__no_data__,['BERT'],__no_data__,Improving Oversubscribed GPU Memory Performance in the PyTorch Framework,https://doi.org/10.1007/s10586--022--03805--x,https://doi.org/10.1007/s10586-022-03805-x,False,False,True,,Cluster Computing,DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Improving post training neural quantization: Layer-wise calibration and integer programming,https://arxiv.org/abs/2006.10518,https://arxiv.org/abs/2006.10518,https://arxiv.org/pdf/2006.10518.pdf,False,True,,Computer Science > Machine Learning,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Improving the efficiency of transformers for resource-constrained devices,https://doi.org/10.1109/DSD53832.2021.00074,https://doi.org/10.1109/DSD53832.2021.00074,https://arxiv.org/pdf/2106.16006.pdf,False,True,,Euromicro Conference on Digital System Design (DSD),DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,Integer Fine-tuning of Transformer-based Models,https://doi.org/10.48550/arXiv.2209.09815,https://doi.org/10.48550/arXiv.2209.09815,https://arxiv.org/pdf/2209.09815.pdf,check,False,,Computer Science > Machine Learning,DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Integer quantization for deep learning inference: Principles and empirical evaluation,https://doi.org/10.48550/arXiv.2004.09602,https://doi.org/10.48550/arXiv.2004.09602,https://arxiv.org/pdf/2004.09602.pdf,False,True,,Computer Science > Machine Learning,DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,KAISA: An adaptive second-order optimizer framework for deep neural networks,https://doi.org/10.1145/3458817.3476152,https://doi.org/10.1145/3458817.3476152,https://arxiv.org/pdf/2107.01739.pdf,False,check,,"International Conference for High Performance Computing, Networking, Storage and Analysis",DEADBEEF
2021,arXiv,article,__no_data__,['BERT'],__no_data__,KDLSQ-BERT: A Quantized Bert Combining Knowledge Distillation with Learned Step Size Quantization,https://doi.org/10.48550/arXiv.2101.05938,https://doi.org/10.48550/arXiv.2101.05938,https://arxiv.org/pdf/2101.05938.pdf,check,check,,Computer Science > Computation and Language,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Kunlun: A 14nm High-Performance AI Processor for Diversified Workloads,https://doi.org/10.1109/ISSCC42613.2021.9366056,https://doi.org/10.1109/ISSCC42613.2021.9366056,False,False,True,,IEEE International Solid- State Circuits Conference (ISSCC),DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Ladabert: Lightweight adaptation of bert through hybrid model compression,https://doi.org/10.48550/arXiv.2004.04124,https://doi.org/10.48550/arXiv.2004.04124,https://arxiv.org/pdf/2004.04124.pdf,check,check,,Computer Science > Computation and Language,DEADBEEF
2021,IEEE,article,__no_data__,['BERT'],__no_data__,Layerweaver: Maximizing Resource Utilization of Neural Processing Units via Layer-Wise Scheduling,https://doi.org/10.1109/HPCA51647.2021.00056,https://doi.org/10.1109/HPCA51647.2021.00056,https://taejunham.github.io/data/layerweaver_hpca21.pdf,False,True,,International Symposium on High-Performance Computer Architecture (HPCA),DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,Learned Token Pruning in Contextualized Late Interaction over BERT (ColBERT),https://doi.org/10.1145/3477495.3531835,https://doi.org/10.1145/3477495.3531835,https://web.Arxiv.org/web/20220713100651id_/https://dl.acm.org/doi/pdf/10.1145/3477495.3531835,True,False,,ACM SIGIR Conference on Research and Development in Information Retrieval,DEADBEEF
2021,AAAI,article,__no_data__,['BERT'],__no_data__,Learning Light-Weight Translation Models from Deep Transformer,https://doi.org/10.1609/aaai.v35i15.17561,https://doi.org/10.1609/aaai.v35i15.17561,https://ojs.aaai.org/index.php/AAAI/article/view/17561/17368,check,False,,AAAI Technical Track on Speech and Natural Language Processing II,DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,Lightweight Composite Re-Ranking for Efficient Keyword Search with BERT,https://doi.org/10.1145/3488560.3498495,https://doi.org/10.1145/3488560.3498495,https://dl.acm.org/doi/pdf/10.1145/3488560.3498495,check,False,,ACM International Conference on Web Search and Data Mining,DEADBEEF
2022,ACL,article,__no_data__,['BERT'],__no_data__,Lightweight Transformers for Conversational AI,http://dx.doi.org/10.18653/v1/2022.naacl--industry.25,http://dx.doi.org/10.18653/v1/2022.naacl-industry.25,https://aclanthology.org/2022.naacl-industry.25.pdf,check,check,,Conference of the North American Chapter of the Association for Computational Linguistics,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale,https://doi.org/10.48550/arXiv.2208.07339,https://doi.org/10.48550/arXiv.2208.07339,https://arxiv.org/pdf/2208.07339,False,True,,Computer Science > Machine Learning,DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,Load What You Need: Smaller Versions of Multilingual BERT,https://doi.org/10.48550/arXiv.2010.05609,https://doi.org/10.48550/arXiv.2010.05609,https://arxiv.org/pdf/2010.05609.pdf,check,check,,Computer Science > Computation and Language,DEADBEEF
2020,IEEE/ACM,article,__no_data__,['BERT'],__no_data__,Look-Up Table based Energy Efficient Processing in Cache Support for Neural Network Acceleration,https://doi.org/10.1109/MICRO50266.2020.00020,https://doi.org/10.1109/MICRO50266.2020.00020,https://www.microarch.org/micro53/papers/738300a088.pdf,False,True,,IEEE/ACM International Symposium on Microarchitecture (MICRO),DEADBEEF
2022,Springer,article,__no_data__,['BERT'],__no_data__,Low-Bit Quantization of Transformer for Audio Speech Recognition,https://doi.org/10.1007/978--3--031--19032--2_12,https://doi.org/10.1007/978-3-031-19032-2_12,False,check,check,,None,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Low-Precision Quantization Techniques for Hardware-Implementation-Friendly BERT Models,https://doi.org/10.1109/ISQED54688.2022.9806238,https://doi.org/10.1109/ISQED54688.2022.9806238,False,False,True,,International Symposium on Quality Electronic Design (ISQED),DEADBEEF
2021,Springer,article,__no_data__,['BERT'],__no_data__,M2M: Learning to Enhance Low-Light Image from Model to Mobile FPGA,https://doi.org/10.1007/978--3--030--89029--2_22,https://doi.org/10.1007/978-3-030-89029-2_22,False,False,True,,Computer Graphics International Conference,DEADBEEF
2019,IEEE,article,__no_data__,['BERT'],__no_data__,MAGNet: A Modular Accelerator Generator for Neural Networks,https://doi.org/10.1109/ICCAD45719.2019.8942127,https://doi.org/10.1109/ICCAD45719.2019.8942127,https://people.eecs.berkeley.edu/~ysshao/assets/papers/magnet2019-iccad.pdf,check,check,,IEEE/ACM International Conference on Computer-Aided Design (ICCAD),DEADBEEF
2020,ACM,article,__no_data__,['BERT'],__no_data__,MiniLM: Deep Self-Attention Distillation for Task-Agnostic Compression of Pre-Trained Transformers,https://dl.acm.org/doi/abs/10.5555/3495724.3496209,https://dl.acm.org/doi/abs/10.5555/3495724.3496209,https://dl.acm.org/doi/pdf/10.5555/3495724.3496209,check,check,,International Conference on Neural Information Processing Systems,DEADBEEF
2022,arXiv,article,__no_data__,['BERT'],__no_data__,MKQ-BERT: Quantized BERT with 4-bits Weights and Activations,https://doi.org/10.48550/arXiv.2203.13483,https://doi.org/10.48550/arXiv.2203.13483,https://arxiv.org/pdf/2203.13483.pdf,False,True,,Computer Science > Machine Learning,DEADBEEF
2022,IEEE,article,__no_data__,['BERT'],__no_data__,Mokey: enabling narrow fixed-point inference for out-of-the-box floating-point transformer models,https://doi.org/10.1145/3470496.3527438,https://doi.org/10.1145/3470496.3527438,https://arxiv.org/pdf/2203.12758.pdf,False,True,,International Symposium on Computer Architecture,DEADBEEF
2020,NeurIPS,article,__no_data__,['BERT'],__no_data__,Movement Pruning: Adaptive Sparsity by Fine-Tuning,https://doi.org/10.48550/arXiv.2005.07683,https://doi.org/10.48550/arXiv.2005.07683,https://proceedings.neurips.cc/paper/2020/file/eae15aabaa768ae4a5993a8a4f4fa6e4-Paper.pdf,check,False,,Advances in Neural Information Processing Systems,DEADBEEF
2022,IEEE/CVF,article,__no_data__,['BERT'],__no_data__,Mr. BiQ: Post-Training Non-Uniform Quantization Based on Minimizing the Reconstruction Error,https://doi.org/10.1109/CVPR52688.2022.01201,https://doi.org/10.1109/CVPR52688.2022.01201,https://openaccess.thecvf.com/content/CVPR2022/papers/Jeon_Mr.BiQ_Post-Training_Non-Uniform_Quantization_Based_on_Minimizing_the_Reconstruction_Error_CVPR_2022_paper.pdf,False,check,CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,DEADBEEF
2019,IEEE,article,__no_data__,['BERT'],__no_data__,mRNA: Enabling Efficient Mapping Space Exploration for a Reconfiguration Neural Accelerator,https://doi.org/10.1109/ISPASS.2019.00040,https://doi.org/10.1109/ISPASS.2019.00040,https://bpb-us-w2.wpmucdn.com/sites.gatech.edu/dist/c/332/files/2019/02/mrna_ispass2019.pdf,check,True,,IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS),DEADBEEF
2020,arXiv,article,__no_data__,['BERT'],__no_data__,"MSP: an FPGA-specific mixed-scheme, multi-precision deep neural network quantization framework",https://doi.org/10.48550/arXiv.2009.07460,https://doi.org/10.48550/arXiv.2009.07460,https://arxiv.org/pdf/2009.07460.pdf,check,True,,Computer Science > Machine Learning,DEADBEEF
2021,ACM,article,__no_data__,['BERT'],__no_data__,NAS-BERT: Task-Agnostic and Adaptive-Size BERT Compression with Neural Architecture Search,https://doi.org/10.1145/3447548.3467262,https://doi.org/10.1145/3447548.3467262,https://arxiv.org/pdf/2105.14444.pdf,check,check,,ACM SIGKDD Conference on Knowledge Discovery & Data Mining,DEADBEEF
2022,ACM,article,__no_data__,['BERT'],__no_data__,Near-Optimal Sparse Allreduce for Distributed Deep Learning,https://doi.org/10.1145/3503221.3508399,https://doi.org/10.1145/3503221.3508399,https://arxiv.org/pdf/2201.07598.pdf,False,True,,ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming,DEADBEEF
